Familiarity Values from the MRC Psycholinguistic Database
Letters,Familiarity,Words
4,570,CHEW
4,570,CHEW
4,440,CHIC
4,440,CHIC
7,544,CHICKEN
7,544,CHICKEN
5,482,CHIEF
5,482,CHIEF
5,482,CHIEF
5,585,CHILD
5,585,CHILD
9,515,CHILDHOOD
9,515,CHILDHOOD
8,539,CHILDISH
8,608,CHILDREN
6,536,CHILLY
6,536,CHILLY
7,479,CHIMNEY
7,479,CHIMNEY
7,479,CHIMNEY
4,545,CHIN
4,545,CHIN
5,507,CHINA
5,507,CHINA
10,393,CHINCHILLA
5,393,CHINK
5,393,CHINK
8,529,CHIPMUNK
6,469,CHISEL
6,469,CHISEL
6,469,CHISEL
8,391,CHLORIDE
8,433,CHLORINE
8,433,CHLORINE
9,560,CHOCOLATE
9,560,CHOCOLATE
5,526,CHOIR
5,526,CHOIR
6,534,CHOOSE
6,534,CHOOSE
4,487,CHOP
4,487,CHOP
6,411,CHORAL
6,411,CHORAL
6,408,CHORUS
6,408,CHORUS
4,298,CHOW
9,611,CHRISTMAS
9,611,CHRISTMAS
9,611,CHRISTMAS
6,385,CHROME
10,302,CHRONOLOGY
7,505,CHUCKLE
7,505,CHUCKLE
7,505,CHUCKLE
6,560,CHURCH
6,560,CHURCH
6,560,CHURCH
5,437,CHUTE
5,507,CIDER
5,536,CIGAR
9,573,CIGARETTE
6,382,CINDER
6,382,CINDER
8,515,CINNAMON
8,515,CINNAMON
6,161,CINQUE
6,581,CIRCLE
6,581,CIRCLE
7,442,CIRCUIT
7,442,CIRCUIT
8,487,CIRCULAR
8,487,CIRCULAR
11,256,CIRCUMSPECT
12,511,CIRCUMSTANCE
12,511,CIRCUMSTANCE
6,489,CIRCUS
6,489,CIRCUS
8,306,CITATION
4,366,CITE
7,535,CITIZEN
7,535,CITIZEN
7,535,CITIZEN
4,616,CITY
4,616,CITY
4,616,CITY
5,508,CIVIL
5,508,CIVIL
5,508,CIVIL
5,508,CIVIL
12,491,CIVILIZATION
5,525,CLAIM
5,525,CLAIM
4,486,CLAM
4,486,CLAM
4,486,CLAM
6,459,CLAMMY
6,357,CLAMOR
7,351,CLAMOUR
7,351,CLAMOUR
5,431,CLANG
5,431,CLANG
8,464,CLARINET
5,488,CLASH
5,488,CLASH
5,441,CLASP
5,441,CLASP
7,466,CLASSIC
7,466,CLASSIC
4,445,CLAW
4,445,CLAW
4,455,CLAY
4,455,CLAY
4,455,CLAY
5,610,CLEAN
5,610,CLEAN
5,610,CLEAN
5,610,CLEAN
9,433,CLEANNESS
5,576,CLEAR
5,576,CLEAR
5,576,CLEAR
5,576,CLEAR
9,418,CLEARANCE
5,333,CLEAT
5,333,CLEAT
7,357,CLEAVER
8,233,CLEMENCY
6,515,CLEVER
6,524,CLIENT
5,479,CLIFF
6,474,CLINCH
6,474,CLINCH
5,382,CLINK
5,382,CLINK
5,423,CLOAK
5,423,CLOAK
5,608,CLOCK
5,608,CLOCK
5,587,CLOSE
5,587,CLOSE
5,587,CLOSE
5,587,CLOSE
5,587,CLOSE
6,536,CLOSER
6,536,CLOSER
6,540,CLOSET
6,540,CLOSET
6,540,CLOSET
5,561,CLOTH
5,561,CLOTH
5,561,CLOTH
7,652,CLOTHES
7,652,CLOTHES
7,652,CLOTHES
8,614,CLOTHING
8,614,CLOTHING
8,614,CLOTHING
8,614,CLOTHING
5,553,CLOUD
5,553,CLOUD
5,395,CLOVE
5,395,CLOVE
5,395,CLOVE
5,395,CLOVE
6,486,CLOVER
6,486,CLOVER
5,511,CLOWN
5,511,CLOWN
5,511,CLOWN
4,533,CLUB
4,533,CLUB
4,533,CLUB
4,533,CLUE
6,512,CLUMSY
5,297,CLUNG
5,297,CLUNG
5,297,CLUNG
5,509,COACH
5,509,COACH
4,513,COAL
4,513,COAL
4,513,COAL
4,513,COAL
6,506,COARSE
5,541,COAST
5,541,COAST
4,610,COAT
4,610,COAT
4,610,COAT
6,379,COBWEB
6,379,COBWEB
4,434,COCK
4,434,COCK
7,481,COCKPIT
8,511,COCKTAIL
8,511,COCKTAIL
4,464,CODE
4,464,CODE
4,464,CODE
6,625,COFFEE
6,279,COFFER
6,279,COFFER
6,531,COFFIN
6,531,COFFIN
9,432,COGNITION
4,157,COIF
4,157,COIF
4,498,COIL
4,498,COIL
4,564,COIN
4,564,COIN
4,585,COKE
4,585,COKE
4,626,COLD
4,626,COLD
4,626,COLD
6,509,COLLAR
6,509,COLLAR
10,538,COLLECTION
7,620,COLLEGE
10,217,COLLEGIATE
10,217,COLLEGIATE
10,217,COLLEGIATE
7,407,COLOGNE
7,482,COLONEL
7,482,COLONEL
6,445,COLONY
6,445,COLONY
5,582,COLOR
11,310,COLOURATION
6,519,COLUMN
11,493,COMBINATION
7,493,COMBINE
7,493,COMBINE
10,452,COMBUSTION
4,608,COME
4,608,COME
4,608,COME
4,608,COME
6,588,COMEDY
6,588,COMEDY
5,636,COMES
5,636,COMES
10,152,COMESTIBLE
10,152,COMESTIBLE
5,426,COMET
7,566,COMFORT
7,566,COMFORT
11,593,COMFORTABLE
11,593,COMFORTABLE
9,392,COMFORTER
7,526,COMMAND
7,526,COMMAND
9,409,COMMANDER
8,489,COMMENCE
12,407,COMMENCEMENT
10,536,COMMERCIAL
10,536,COMMERCIAL
9,532,COMMITTEE
9,532,COMMITTEE
9,532,COMMITTEE
7,354,COMMODE
7,354,COMMODE
6,595,COMMON
6,595,COMMON
6,595,COMMON
6,595,COMMON
13,527,COMMUNICATION
9,499,COMMUNITY
7,518,COMPACT
7,518,COMPACT
7,518,COMPACT
7,518,COMPACT
7,518,COMPACT
7,573,COMPANY
7,573,COMPANY
7,573,COMPANY
10,560,COMPARISON
10,560,COMPARISON
10,331,COMPATRIOT
10,331,COMPATRIOT
10,458,COMPETENCE
9,478,COMPETENT
9,478,COMPETENT
11,544,COMPETITION
10,382,COMPLACENT
8,605,COMPLETE
8,605,COMPLETE
8,605,COMPLETE
12,480,COMPLICATION
10,511,COMPLIMENT
10,511,COMPLIMENT
8,448,COMPOSER
9,458,COMPOSURE
13,427,COMPREHENSIVE
11,360,COMPRESSION
11,328,COMPUTATION
7,397,COMRADE
7,397,COMRADE
11,374,COMRADESHIP
7,370,CONCAVE
7,370,CONCAVE
7,370,CONCAVE
9,497,CONCEITED
9,497,CONCEITED
7,532,CONCEPT
7,519,CONCERN
7,519,CONCERN
7,520,CONCERT
7,520,CONCERT
7,520,CONCERT
10,577,CONCLUSION
8,528,CONCRETE
8,528,CONCRETE
8,528,CONCRETE
8,528,CONCRETE
11,314,CONCURRENCE
7,500,CONDEMN
13,331,CONDESCENSION
9,571,CONDITION
9,571,CONDITION
4,506,CONE
4,506,CONE
10,498,CONFERENCE
10,498,CONFERENCE
10,566,CONFIDENCE
9,554,CONFIDENT
9,554,CONFIDENT
10,456,CONFISCATE
10,456,CONFISCATE
8,494,CONFLICT
8,494,CONFLICT
9,554,CONFUSION
9,314,CONGENIAL
8,389,CONGRESS
11,340,CONJUGATION
11,460,CONJUNCTION
11,354,CONNOISSEUR
8,441,CONQUEST
8,441,CONQUEST
8,441,CONQUEST
10,536,CONSCIENCE
13,470,CONSCIENTIOUS
9,571,CONSCIOUS
11,502,CONSEQUENCE
11,502,CONSEQUENCE
12,476,CONSERVATION
12,545,CONSERVATIVE
12,545,CONSERVATIVE
8,562,CONSIDER
12,542,CONSIDERABLE
12,542,CONSIDERABLE
12,542,CONSIDERABLE
13,500,CONSIDERATION
7,556,CONSIST
10,500,CONSISTENT
10,500,CONSISTENT
11,457,CONSOLATION
11,364,CONSPIRATOR
8,531,CONSTANT
8,531,CONSTANT
12,466,CONSTITUTION
12,466,CONSTRUCTION
12,335,CONSUMMATION
7,543,CONTACT
7,543,CONTACT
13,388,CONTAMINATION
7,553,CONTENT
7,553,CONTENT
7,553,CONTENT
7,553,CONTENT
8,566,CONTENTS
8,566,CONTENTS
7,460,CONTEXT
9,459,CONTINENT
9,459,CONTINENT
12,470,CONTINUATION
9,623,CONTINUED
9,623,CONTINUED
9,623,CONTINUED
8,509,CONTRACT
8,509,CONTRACT
8,509,CONTRACT
11,454,CONTRACTION
13,493,CONTRADICTORY
13,493,CONTRADICTORY
12,505,CONTRIBUTION
7,559,CONTROL
7,559,CONTROL
7,458,CONVENT
7,458,CONVENT
7,458,CONVENT
10,466,CONVENTION
10,384,CONVEYANCE
11,175,CONVOCATION
4,568,COOK
4,568,COOK
6,585,COOKIE
4,567,COOL
4,567,COOL
4,567,COOL
8,451,COOLNESS
4,516,COPE
4,516,COPE
7,213,COPIOUS
6,491,COPPER
6,491,COPPER
6,491,COPPER
5,425,CORAL
5,425,CORAL
5,425,CORAL
4,477,CORD
4,477,CORD
4,459,CORE
4,459,CORE
4,544,CORK
4,544,CORK
4,544,CORK
9,445,CORKSCREW
9,445,CORKSCREW
4,548,CORN
4,548,CORN
4,548,CORN
6,556,CORNER
6,556,CORNER
6,556,CORNER
6,556,CORNER
6,364,CORNET
7,252,CORNICE
11,427,CORPORATION
11,427,CORPORATION
5,433,CORPS
6,406,CORPSE
6,406,CORPSE
13,484,CORRESPONDENT
13,484,CORRESPONDENT
8,579,CORRIDOR
5,220,CORSE
5,220,CORSE
4,589,COST
4,589,COST
4,589,COST
4,589,COST
7,456,COSTUME
7,456,COSTUME
3,391,COT
3,391,COT
7,543,COTTAGE
6,521,COTTON
6,521,COTTON
6,521,COTTON
5,521,COUCH
5,521,COUCH
5,622,COULD
5,622,COULD
7,176,COULOMB
7,508,COUNCIL
5,574,COUNT
5,574,COUNT
11,327,COUNTERPANE
7,592,COUNTRY
7,511,COURAGE
7,511,COURAGE
6,564,COURSE
6,564,COURSE
5,549,COURT
5,549,COURT
5,549,COURT
9,515,COURTEOUS
9,423,COURTSHIP
6,515,COUSIN
6,515,COUSIN
5,597,COVER
5,597,COVER
3,529,COW
3,529,COW
3,529,COW
9,431,COWARDICE
8,495,COWARDLY
6,521,COWBOY
7,346,COWHIDE
4,240,COWL
4,240,COWL
4,433,CRAB
4,433,CRAB
4,433,CRAB
6,478,CRADLE
6,478,CRADLE
5,487,CRAFT
5,487,CRAFT
5,487,CRAFT
4,245,CRAG
9,483,CRANBERRY
5,428,CRANE
5,428,CRANE
7,313,CRANIUM
5,475,CRANK
5,475,CRANK
5,475,CRANK
6,288,CRAVEN
6,288,CRAVEN
6,288,CRAVEN
5,519,CRAWL
5,519,CRAWL
5,514,CREAM
5,514,CREAM
8,513,CREATIVE
7,431,CREATOR
8,508,CREATURE
7,390,CREEPER
4,442,CREW
4,442,CREW
4,442,CREW
5,537,CRIME
5,537,CRIME
5,537,CRIME
6,521,CRISIS
9,349,CRITERION
8,517,CRITICAL
9,518,CRITICISM
5,446,CROAK
5,446,CROAK
5,356,CROCK
5,356,CROCK
9,456,CROCODILE
5,467,CROOK
5,467,CROOK
5,467,CROOK
7,487,CROOKED
7,487,CROOKED
7,487,CROOKED
7,418,CROQUET
7,418,CROQUET
5,525,CROSS
5,525,CROSS
5,525,CROSS
5,525,CROSS
5,525,CROSS
4,490,CROW
4,490,CROW
4,490,CROW
5,523,CROWD
5,523,CROWD
5,531,CROWN
5,531,CROWN
5,531,CROWN
8,416,CRUCIFIX
8,416,CRUCIFIX
5,521,CRUEL
5,521,CRUEL
5,521,CRUEL
7,490,CRUISER
5,524,CRUMB
5,524,CRUMB
5,480,CRUSH
5,480,CRUSH
6,441,CRUTCH
6,441,CRUTCH
3,566,CRY
3,566,CRY
5,320,CRYPT
7,510,CRYSTAL
7,510,CRYSTAL
7,510,CRYSTAL
4,502,CUBE
4,502,CUBE
4,502,CUBE
8,536,CUCUMBER
8,536,CUCUMBER
3,420,CUE
3,420,CUE
7,335,CUISINE
4,437,CULT
7,523,CULTURE
7,523,CULTURE
7,417,CUNNING
7,417,CUNNING
3,595,CUP
3,595,CUP
4,526,CURB
4,526,CURB
4,526,CURE
4,526,CURE
6,475,CURFEW
9,515,CURIOSITY
6,501,CURLER
7,509,CURRENT
7,509,CURRENT
5,484,CURSE
5,484,CURSE
5,521,CURVE
5,521,CURVE
5,521,CURVE
7,460,CUSTARD
6,538,CUSTOM
6,538,CUSTOM
9,452,CUSTOMARY
9,452,CUSTOMARY
8,549,CUSTOMER
3,581,CUT
3,581,CUT
3,581,CUT
3,581,CUT
6,184,CUTTLE
6,184,CUTTLE
6,184,CUTTLE
6,184,CUTTLE
5,117,CYLIX
6,375,CYMBAL
5,465,CYNIC
5,465,CYNIC
7,364,CYNICAL
4,335,CYST
3,646,DAD
8,404,DAFFODIL
8,404,DAFFODIL
6,480,DAGGER
6,480,DAGGER
6,480,DAGGER
5,467,DAIRY
5,467,DAIRY
4,168,DAIS
5,519,DAISY
5,519,DAISY
5,519,DAISY
9,115,DALLIANCE
6,558,DAMAGE
6,558,DAMAGE
5,113,DAMAN
4,472,DAME
6,292,DAMSEL
5,550,DANCE
5,550,DANCE
6,535,DANCER
7,579,DANCING
7,579,DANCING
7,579,DANCING
7,579,DANCING
9,513,DANDELION
9,513,DANDELION
8,495,DANDRUFF
6,557,DANGER
6,557,DANGER
4,510,DARE
4,510,DARE
4,598,DARK
4,598,DARK
4,598,DARK
8,578,DARKNESS
4,496,DART
4,496,DART
4,613,DATE
4,613,DATE
4,507,DAWN
4,507,DAWN
4,507,DAWN
3,595,DAY
3,595,DAY
8,387,DAYBREAK
8,547,DAYLIGHT
8,547,DAYLIGHT
4,581,DEAD
4,581,DEAD
4,581,DEAD
4,581,DEAD
4,581,DEAD
4,522,DEAL
4,522,DEAL
4,522,DEAL
4,536,DEAR
4,536,DEAR
4,536,DEAR
4,536,DEAR
4,536,DEAR
5,581,DEATH
7,169,DEBACLE
6,459,DEBATE
6,459,DEBATE
8,315,DEBONAIR
8,315,DEBONAIR
4,494,DEBT
4,494,DEBT
5,351,DEBUT
5,351,DEBUT
5,513,DECAY
5,513,DECAY
6,440,DECEIT
8,601,DECISION
4,507,DECK
4,507,DECK
13,417,DECOMPOSITION
8,489,DECORATE
8,489,DECORATE
9,491,DECORATED
9,491,DECORATED
9,491,DECORATED
10,517,DECORATION
5,434,DECOY
5,434,DECOY
6,376,DECREE
6,376,DECREE
9,492,DEDUCTION
4,475,DEED
4,475,DEED
4,475,DEED
4,542,DEEP
4,542,DEEP
4,542,DEEP
4,542,DEEP
4,509,DEER
4,509,DEER
6,490,DEFACE
6,490,DEFACE
6,519,DEFEAT
6,519,DEFEAT
7,479,DEFENCE
7,479,DEFENCE
8,432,DEFIANCE
7,419,DEFIANT
9,465,DEFICIENT
9,465,DEFICIENT
10,519,DEFINITION
8,496,DEGRADED
8,496,DEGRADED
8,496,DEGRADED
8,496,DEGRADED
6,574,DEGREE
6,574,DEGREE
5,304,DEITY
10,412,DELEGATION
10,508,DELIBERATE
10,508,DELIBERATE
8,556,DELICATE
8,556,DELICATE
7,510,DELIGHT
7,510,DELIGHT
8,317,DELIRIUM
7,529,DELIVER
7,529,DELIVER
4,244,DELL
5,359,DELTA
6,308,DELUGE
6,308,DELUGE
9,302,DEMEANOUR
9,566,DEMOCRACY
8,501,DEMOLISH
5,399,DEMON
5,399,DEMON
13,537,DEMONSTRATION
13,537,DEMONSTRATION
6,407,DENIAL
5,524,DENSE
4,480,DENT
4,480,DENT
4,480,DENT
7,563,DENTIST
10,596,DEPARTMENT
10,531,DEPENDABLE
6,441,DEPICT
6,441,DEPICT
7,532,DEPOSIT
7,532,DEPOSIT
9,547,DEPRESSED
9,547,DEPRESSED
9,547,DEPRESSED
10,541,DEPRESSION
6,462,DEPUTY
6,462,DEPUTY
5,181,DERAY
5,181,DERAY
5,456,DERBY
5,456,DERBY
8,245,DERELICT
8,245,DERELICT
8,245,DERELICT
10,434,DERIVATION
8,610,DESCRIBE
11,556,DESCRIPTION
6,538,DESIGN
6,538,DESIGN
6,550,DESIRE
6,550,DESIRE
4,583,DESK
4,583,DESK
8,459,DESOLATE
8,459,DESOLATE
8,459,DESOLATE
8,459,DESOLATE
7,484,DESPAIR
7,484,DESPAIR
11,477,DESPERATION
7,469,DESPISE
7,469,DESPISE
6,313,DESPOT
7,551,DESTROY
9,448,DESTROYER
11,488,DESTRUCTION
11,543,DESTRUCTIVE
11,543,DESTRUCTIVE
9,509,DETECTIVE
9,509,DETECTIVE
13,527,DETERMINATION
9,539,DETERMINE
11,240,DETESTATION
10,339,DETONATION
7,558,DEVELOP
11,536,DEVELOPMENT
11,536,DEVELOPMENT
6,500,DEVICE
5,474,DEVIL
5,474,DEVIL
5,474,DEVIL
5,474,DEVIL
8,438,DEVOTION
3,427,DEW
3,427,DEW
3,427,DEW
9,332,DEXTERITY
6,232,DIADEM
6,232,DIADEM
4,566,DIAL
4,566,DIAL
4,566,DIAL
7,512,DIAMOND
7,512,DIAMOND
7,512,DIAMOND
4,487,DICE
4,487,DICE
4,487,DICE
9,432,DICTATION
9,432,DICTATION
3,542,DID
3,569,DIE
3,569,DIE
4,556,DIET
4,556,DIET
10,592,DIFFERENCE
10,592,DIFFERENCE
10,592,DIFFERENCE
9,558,DIFFERENT
9,558,DIFFERENT
9,558,DIFFERENT
9,437,DIFFUSION
9,437,DIFFUSION
9,477,DIGNIFIED
9,477,DIGNIFIED
9,477,DIGNIFIED
9,477,DIGNIFIED
7,454,DIGNITY
8,420,DILIGENT
8,420,DILIGENT
3,495,DIM
3,495,DIM
3,495,DIM
4,586,DIME
4,586,DIME
9,483,DIMENSION
9,483,DIMENSION
6,442,DIMPLE
6,442,DIMPLE
5,442,DINER
6,621,DINNER
6,621,DINNER
6,621,DINNER
3,466,DIP
3,466,DIP
9,562,DIRECTION
5,282,DIRGE
4,571,DIRT
4,571,DIRT
5,589,DIRTY
5,589,DIRTY
12,489,DISAGREEMENT
10,537,DISAPPOINT
12,547,DISAPPOINTED
12,547,DISAPPOINTED
12,547,DISAPPOINTED
12,547,DISAPPOINTED
8,548,DISASTER
8,548,DISASTER
8,548,DISASTER
7,344,DISAVOW
4,466,DISC
9,414,DISCHARGE
9,414,DISCHARGE
10,507,DISCIPLINE
10,507,DISCIPLINE
10,321,DISCLOSURE
8,460,DISCOLOR
8,460,DISCOLOR
14,356,DISCOLOURATION
13,419,DISCONNECTION
7,381,DISCORD
7,381,DISCORD
7,381,DISCORD
9,513,DISCOVERY
10,409,DISCRETION
14,509,DISCRIMINATING
14,509,DISCRIMINATING
14,509,DISCRIMINATING
10,541,DISCUSSION
7,580,DISEASE
7,580,DISEASE
8,488,DISGRACE
8,488,DISGRACE
10,475,DISHONESTY
12,499,DISINFECTANT
12,499,DISINFECTANT
11,399,DISLOCATION
6,411,DISMAL
6,411,DISMAL
9,447,DISMISSAL
11,501,DISOBEDIENT
13,242,DISPARAGEMENT
9,278,DISPARITY
7,567,DISPLAY
7,567,DISPLAY
11,458,DISPOSITION
7,520,DISPUTE
7,520,DISPUTE
8,304,DISQUIET
8,304,DISQUIET
8,304,DISQUIET
10,453,DISRUPTIVE
10,431,DISSECTION
8,594,DISTANCE
8,594,DISTANCE
8,490,DISTINCT
8,490,DISTINCT
8,490,DISTINCT
8,490,DISTINCT
11,492,DISTINCTION
10,462,DISTORTION
11,509,DISTRACTION
8,494,DISTRESS
8,494,DISTRESS
9,431,DISTURBER
5,511,DITCH
5,511,DITCH
4,508,DIVE
4,508,DIVE
5,448,DIVER
9,501,DIVERSITY
8,387,DIVIDEND
6,506,DIVING
6,506,DIVING
8,518,DIVISION
2,609,DO
2,609,DO
2,609,DO
6,454,DOCILE
4,483,DOCK
4,483,DOCK
6,573,DOCTOR
6,573,DOCTOR
3,464,DOE
4,629,DOES
4,629,DOES
4,629,DOES
3,598,DOG
3,598,DOG
3,598,DOG
5,328,DOGMA
8,320,DOGMATIC
8,320,DOGMATIC
4,503,DOLL
4,503,DOLL
6,611,DOLLAR
4,233,DOLT
4,233,DOLT
4,233,DOLT
4,504,DOME
4,504,DOME
8,219,DOMICILE
8,219,DOMICILE
10,417,DOMINATION
4,567,DONE
4,567,DONE
4,567,DONE
4,567,DONE
5,479,DONOR
4,630,DOOR
7,532,DOORWAY
9,369,DORMITORY
3,524,DOT
3,524,DOT
6,180,DOTAGE
5,474,DOUGH
8,566,DOUGHNUT
4,415,DOVE
4,415,DOVE
7,268,DOWAGER
4,546,DOWN
4,546,DOWN
4,546,DOWN
4,546,DOWN
4,546,DOWN
4,546,DOWN
8,401,DOWNCAST
8,401,DOWNCAST
8,401,DOWNCAST
8,401,DOWNCAST
5,289,DOWRY
5,568,DOZEN
4,443,DRAB
4,443,DRAB
4,443,DRAB
6,425,DRAGON
6,425,DRAGON
5,510,DRAIN
5,510,DRAIN
5,534,DRAMA
5,396,DRAPE
5,396,DRAPE
4,542,DRAW
4,542,DRAW
5,460,DREAD
5,460,DREAD
5,460,DREAD
5,460,DREAD
5,553,DREAM
5,553,DREAM
7,517,DREAMER
6,506,DREARY
5,588,DRESS
5,588,DRESS
7,526,DRESSER
5,473,DRILL
5,473,DRILL
5,628,DRINK
5,628,DRINK
6,593,DRIVER
7,516,DRIZZLE
7,516,DRIZZLE
4,577,DROP
4,577,DROP
7,467,DROPPER
5,432,DROVE
5,432,DROVE
5,432,DROVE
5,432,DROVE
4,539,DRUG
4,539,DRUG
4,506,DRUM
4,506,DRUM
8,482,DRUNKARD
3,615,DRY
3,615,DRY
3,615,DRY
5,180,DRYAD
4,463,DUAL
4,463,DUAL
7,416,DUCHESS
4,529,DUCK
4,529,DUCK
4,529,DUCK
4,368,DUCT
4,439,DUEL
4,439,DUEL
4,457,DUKE
4,457,DUKE
4,570,DULL
4,570,DULL
8,436,DULLNESS
8,436,DULLNESS
4,564,DUMB
4,564,DUMB
4,564,DUMB
5,478,DUMMY
5,478,DUMMY
4,504,DUMP
4,504,DUMP
7,428,DUNGEON
7,428,DUNGEON
8,313,DUNGHILL
8,313,DUNGHILL
4,474,DUSK
4,474,DUSK
4,474,DUSK
4,558,DUST
4,558,DUST
4,558,DUST
5,537,DUSTY
4,543,DUTY
7,432,DWELLER
8,374,DWELLING
8,374,DWELLING
8,374,DWELLING
3,490,DYE
3,490,DYE
7,489,DYNAMIC
7,489,DYNAMIC
7,407,DYNASTY
4,555,EACH
4,555,EACH
5,531,EAGER
5,531,EAGER
5,465,EAGLE
3,560,EAR
3,560,EAR
4,358,EARL
5,575,EARLY
5,575,EARLY
4,557,EARN
4,557,EARN
5,580,EARTH
5,580,EARTH
9,508,EARTHWORM
4,519,EASE
4,519,EASE
5,349,EASEL
4,574,EAST
4,574,EAST
4,574,EAST
4,574,EAST
4,607,EASY
4,607,EASY
9,525,EASYGOING
3,529,EAT
3,529,EAT
3,529,EAT
6,612,EATING
6,612,EATING
5,367,EAVES
9,422,ECCENTRIC
9,422,ECCENTRIC
12,358,ECCENTRICITY
4,478,ECHO
4,478,ECHO
7,580,ECONOMY
4,569,EDGE
4,569,EDGE
5,279,EDICT
7,330,EDIFICE
7,499,EDITION
9,585,EDUCATION
8,380,EDUCATOR
3,433,EEL
5,467,EERIE
6,602,EFFECT
6,602,EFFECT
9,503,EFFICIENT
9,503,EFFICIENT
6,585,EFFORT
6,585,EFFORT
3,608,EGG
3,608,EGG
3,497,EGO
11,366,EGOTISTICAL
6,119,EGRESS
6,119,EGRESS
6,119,EGRESS
5,613,EIGHT
5,613,EIGHT
5,613,EIGHT
11,403,ELABORATION
5,564,ELBOW
5,564,ELBOW
8,535,ELECTION
11,601,ELECTRICITY
7,484,ELEGANT
8,459,ELEPHANT
8,459,ELEPHANT
3,355,ELF
3,355,ELF
11,441,ELIMINATION
7,437,ELLIPSE
3,456,ELM
9,356,ELOPEMENT
4,565,ELSE
4,565,ELSE
9,261,EMANATION
12,388,EMANCIPATION
13,317,EMBELLISHMENT
12,360,EMBEZZLEMENT
7,433,EMBRACE
7,433,EMBRACE
6,356,EMBRYO
6,356,EMBRYO
7,457,EMERALD
9,459,EMERGENCE
9,558,EMERGENCY
9,558,EMERGENCY
8,446,EMISSION
7,549,EMOTION
9,566,EMOTIONAL
7,379,EMPEROR
8,417,EMPHATIC
6,479,EMPIRE
6,479,EMPIRE
10,531,EMPLOYMENT
8,179,EMPORIUM
5,556,EMPTY
5,556,EMPTY
5,556,EMPTY
8,428,EMULSION
6,476,ENAMEL
6,476,ENAMEL
10,87,ENCEPHALON
9,320,ENCHANTER
6,310,ENCORE
6,310,ENCORE
6,310,ENCORE
6,310,ENCORE
9,463,ENCOUNTER
9,463,ENCOUNTER
3,592,END
3,592,END
9,399,ENDEAVOUR
9,399,ENDEAVOUR
9,309,ENDOSPERM
5,523,ENEMY
5,523,ENEMY
9,503,ENERGETIC
10,535,ENGAGEMENT
6,543,ENGINE
6,543,ENGINE
8,514,ENGINEER
8,514,ENGINEER
6,290,ENIGMA
13,395,ENLIGHTENMENT
6,545,ENOUGH
6,545,ENOUGH
6,545,ENOUGH
6,545,ENOUGH
8,366,ENSEMBLE
8,366,ENSEMBLE
8,366,ENSEMBLE
8,540,ENTERING
8,540,ENTERING
10,407,ENTERPRISE
10,407,ENTERPRISE
12,429,ENTERPRISING
12,429,ENTERPRISING
9,537,ENTERTAIN
9,537,ENTERTAIN
10,506,ENTHUSIASM
12,522,ENTHUSIASTIC
12,522,ENTHUSIASTIC
6,531,ENTIRE
6,531,ENTIRE
8,555,ENTRANCE
8,555,ENTRANCE
6,441,ENTREE
5,492,ENTRY
11,238,ENUNCIATION
8,542,ENVELOPE
7,470,ENVIOUS
4,511,ENVY
4,511,ENVY
7,246,EPICURE
7,246,EPICURE
7,431,EPISODE
7,287,EPISTLE
7,287,EPISTLE
7,348,EPITAPH
7,348,EPITAPH
5,591,EQUAL
5,591,EQUAL
5,591,EQUAL
8,528,EQUALITY
10,214,EQUANIMITY
9,543,EQUIPMENT
6,319,EQUITY
6,319,EQUITY
6,441,ERRAND
5,542,ERROR
5,466,ERUPT
6,524,ESCAPE
6,524,ESCAPE
5,578,ESSAY
5,578,ESSAY
7,384,ESSENCE
7,384,ESSENCE
9,546,ESSENTIAL
9,546,ESSENTIAL
13,486,ESTABLISHMENT
6,498,ESTATE
6,498,ESTATE
8,505,ESTIMATE
8,505,ESTIMATE
7,500,ETERNAL
7,500,ETERNAL
8,513,ETERNITY
5,405,ETHER
5,405,ETHER
7,379,ETHICAL
9,332,ETIQUETTE
9,195,EUPHEMISM
10,378,EVACUATION
8,502,EVALUATE
10,318,EVANGELIST
4,576,EVEN
4,576,EVEN
4,576,EVEN
4,576,EVEN
7,630,EVENING
7,630,EVENING
5,574,EVENT
5,574,EVENT
4,557,EVER
4,557,EVER
9,399,EVERGREEN
9,399,EVERGREEN
5,597,EVERY
5,597,EVERY
8,504,EVIDENCE
8,504,EVIDENCE
4,538,EVIL
4,538,EVIL
4,538,EVIL
9,523,EVOLUTION
3,341,EWE
3,341,EWE
3,341,EWE
5,606,EXACT
5,606,EXACT
8,409,EXACTING
8,409,EXACTING
8,409,EXACTING
10,253,EXACTITUDE
11,570,EXAMINATION
7,549,EXAMINE
12,419,EXASPERATION
9,587,EXCELLENT
9,587,EXCELLENT
9,587,EXCELLENT
9,512,EXCEPTION
9,493,EXCESSIVE
9,493,EXCESSIVE
8,504,EXCHANGE
8,504,EXCHANGE
6,356,EXCISE
6,356,EXCISE
9,445,EXCITABLE
10,535,EXCITEMENT
8,576,EXCITING
8,576,EXCITING
9,354,EXCLUSION
6,552,EXCUSE
6,552,EXCUSE
11,418,EXECUTIONER
9,458,EXECUTIVE
9,458,EXECUTIVE
8,393,EXERTION
7,510,EXHAUST
7,510,EXHAUST
7,510,EXHAUST
7,510,EXHAUST
10,520,EXHAUSTION
7,464,EXHIBIT
7,464,EXHIBIT
7,464,EXHIBIT
4,616,EXIT
4,616,EXIT
7,433,EXPANSE
7,433,EXPANSE
7,433,EXPANSE
